Gender,Age,Married,Number of Dependents,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue
Female,32,No,0,0,72,Offer A,Yes,2.25,Yes,Yes,Fiber Optic,16,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,101.3,7261.25,0,0,162,7423.25
Female,39,No,0,0,56,None,No,,,Yes,DSL,19,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,45.05,2560.1,0,0,0,2560.1
Female,58,Yes,2,9,71,Offer A,Yes,27.26,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,95.75,6849.4,0,0,1935.46,8784.86
Female,52,Yes,1,0,34,None,No,,,Yes,DSL,20,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,61.25,1993.2,0,0,0,1993.2
Female,72,No,0,0,1,Offer E,Yes,7.77,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,72.1,72.1,0,0,7.77,79.87
Male,79,No,0,0,45,None,Yes,10.67,No,Yes,DSL,17,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,62.7,2791.5,0,0,480.15,3271.65
Male,67,No,0,0,1,None,No,,,Yes,Cable,9,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,25.1,0,0,0,25.1
Female,79,Yes,0,0,50,None,Yes,31.43,Yes,No,,,,,,,,,,,One Year,No,Bank Withdrawal,25.2,1306.3,0,0,1571.5,2877.8
Female,26,Yes,0,1,13,None,Yes,43.56,Yes,Yes,Fiber Optic,52,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94.1,1215.6,0,0,566.28,1781.88
Female,30,Yes,2,1,23,Offer D,Yes,34.91,Yes,Yes,Fiber Optic,30,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,1849.95,0,0,802.93,2652.88
Female,22,No,0,0,3,None,Yes,3.12,No,No,,,,,,,,,,,Month-to-Month,No,Credit Card,19.85,57.2,0,0,9.36,66.56
Female,34,Yes,0,0,4,Offer E,Yes,12.43,No,No,,,,,,,,,,,Month-to-Month,No,Credit Card,20.35,76.35,0,0,49.72,126.07
Female,37,Yes,1,1,1,None,No,,,Yes,DSL,19,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.5,30.5,0,0,0,30.5
Female,37,Yes,3,10,55,None,Yes,35.04,No,Yes,Fiber Optic,57,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,103.7,5656.75,0,20,1927.2,7603.95
Male,42,Yes,3,3,54,None,Yes,19.7,No,No,,,,,,,,,,,Two Year,No,Credit Card,20.4,1090.6,0,0,1063.8,2154.4
Male,64,No,0,0,26,Offer C,Yes,37.7,No,No,,,,,,,,,,,One Year,Yes,Bank Withdrawal,19.6,471.85,21.25,0,980.2,1430.8
Female,47,Yes,3,5,69,None,Yes,38.39,No,No,,,,,,,,,,,Two Year,No,Bank Withdrawal,19.7,1396.9,0,0,2648.91,4045.81
Male,23,Yes,3,1,37,Offer C,Yes,43.01,No,Yes,Fiber Optic,51,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,91.2,3247.55,0,0,1591.37,4838.92
Female,48,Yes,0,5,49,Offer B,Yes,49.58,No,No,,,,,,,,,,,One Year,No,Bank Withdrawal,20.45,900.9,0,0,2429.42,3330.32
Male,28,Yes,0,9,66,None,Yes,43.77,Yes,Yes,Fiber Optic,41,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,-2,7942.15,0,0,2888.82,10830.97
Female,28,No,0,0,67,None,Yes,23.12,No,No,,,,,,,,,,,One Year,No,Bank Withdrawal,20.55,1343.4,30.53,0,1549.04,2861.91
Male,33,Yes,1,4,20,None,No,,,Yes,Cable,22,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,39.4,825.4,0,0,0,825.4
Female,31,No,3,0,43,None,Yes,30.64,Yes,No,,,,,,,,,,,Two Year,Yes,Bank Withdrawal,25.1,1070.15,0,0,1317.52,2387.67
Female,37,Yes,0,2,55,Offer B,Yes,5.08,Yes,Yes,Fiber Optic,9,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.8,4959.6,0,0,279.4,5239
Female,60,Yes,0,4,59,Offer B,Yes,16.39,Yes,Yes,Fiber Optic,14,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,5597.65,0,0,967.01,6564.66
Female,48,Yes,3,3,12,None,Yes,19.28,No,No,,,,,,,,,,,Two Year,No,Bank Withdrawal,20.3,224.5,0,0,231.36,455.86
Male,60,Yes,3,7,27,Offer C,Yes,25.26,Yes,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,1929,0,0,682.02,2611.02
Male,69,No,0,0,2,None,Yes,43.99,No,Yes,DSL,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0,0,87.98,179.08
Female,20,No,0,0,27,Offer C,Yes,48.91,No,Yes,DSL,59,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,78.2,2078.95,0,0,1320.57,3399.52
Male,31,Yes,3,1,25,None,Yes,23.69,Yes,No,,,,,,,,,,,Two Year,No,Credit Card,25.5,630.6,44.42,0,592.25,1178.43
Male,46,Yes,0,5,25,None,Yes,6.45,No,Yes,Cable,19,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,61.6,1611,44.9,0,161.25,1727.35
Male,57,No,1,0,29,None,No,,,Yes,DSL,21,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45,1242.45,12.26,0,0,1230.19
Male,19,Yes,0,5,72,None,Yes,32.36,Yes,Yes,DSL,52,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,85.15,6316.2,0,0,2329.92,8646.12
Female,64,No,0,0,14,None,Yes,24.04,No,Yes,Cable,12,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,51.45,727.85,0,0,336.56,1064.41
Female,38,No,0,0,35,Offer C,Yes,36.42,No,Yes,Fiber Optic,2,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,99.25,3532,0,0,1274.7,4806.7
Male,54,No,0,0,1,Offer E,Yes,42.95,No,Yes,DSL,9,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,44.3,44.3,0,0,42.95,87.25
Male,50,No,0,0,29,None,Yes,2.05,No,Yes,Fiber Optic,17,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.2,2607.6,0,20,59.45,2687.05
Male,25,No,0,0,64,None,Yes,5.49,Yes,Yes,DSL,69,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,81.25,5567.55,0,40,351.36,5958.91
Female,35,Yes,3,1,39,None,Yes,24.38,Yes,Yes,Fiber Optic,53,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.95,3767.4,0,0,950.82,4718.22
Female,72,No,0,0,40,None,Yes,44.14,No,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,91.55,3673.6,0,0,1765.6,5439.2
Male,51,No,0,0,40,None,Yes,37.69,Yes,Yes,Fiber Optic,15,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,104.5,4036.85,0,0,1507.6,5544.45
Female,78,No,1,0,11,Offer D,Yes,11.59,No,Yes,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95,1120.3,0,120,127.49,1367.79
Female,30,Yes,0,10,6,Offer E,Yes,42.66,Yes,Yes,Cable,85,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,50.35,314.55,0,0,255.96,570.51
Male,58,No,0,0,30,None,Yes,2.64,Yes,Yes,DSL,15,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,64.5,1888.45,0,0,79.2,1967.65
Male,26,No,0,0,27,None,Yes,20.66,No,No,,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,19.4,529.8,0,0,557.82,1087.62
Male,66,Yes,0,3,70,None,Yes,39.49,Yes,Yes,Fiber Optic,28,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.8,7308.95,6.11,0,2764.3,10067.14
Female,20,Yes,0,10,57,Offer B,Yes,8.01,Yes,Yes,Fiber Optic,73,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109.4,6252.7,0,0,456.57,6709.27
Male,61,Yes,0,10,58,None,Yes,18.37,No,Yes,DSL,18,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,50.3,2878.55,10.23,0,1065.46,3933.78
Male,24,No,0,0,16,None,Yes,25.71,Yes,Yes,DSL,48,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,71.4,1212.1,0,0,411.36,1623.46
Female,55,Yes,0,3,69,Offer A,Yes,38.52,Yes,Yes,Fiber Optic,27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,116,8182.85,0,0,2657.88,10840.73
Male,32,No,0,0,1,Offer E,Yes,31.77,No,No,,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,19.85,19.85,0,0,31.77,51.62
Male,59,No,0,0,1,None,Yes,40.71,Yes,Yes,Fiber Optic,25,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.75,99.75,0,0,40.71,140.46
Male,71,Yes,1,9,32,Offer C,Yes,31.86,No,Yes,Fiber Optic,23,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,93.95,2861.45,0,0,1019.52,3880.97
Male,49,Yes,2,8,16,Offer D,Yes,48.71,Yes,Yes,Fiber Optic,12,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.8,1442.2,0,0,779.36,2221.56
Male,61,Yes,0,1,49,Offer B,Yes,39.55,Yes,Yes,Cable,10,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,84.35,4059.35,0,0,1937.95,5997.3
Female,40,Yes,0,2,71,Offer A,No,,,Yes,Cable,29,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,58.25,4145.9,0,0,0,4145.9
Female,39,No,0,0,33,None,Yes,49.69,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,107.55,3645.5,0,0,1639.77,5285.27
Female,21,Yes,0,9,10,Offer D,Yes,49.6,No,No,,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,19.95,187.75,0,0,496,683.75
Male,24,Yes,0,1,21,None,Yes,36.26,Yes,Yes,Fiber Optic,59,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,111.2,2317.1,0,120,761.46,3198.56
Male,52,Yes,1,1,37,None,No,,,Yes,DSL,23,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,1448.8,0,0,0,1448.8
Female,71,No,0,0,26,None,Yes,33.74,No,Yes,Fiber Optic,7,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,85.8,2193.65,0,0,877.24,3070.89
Male,45,No,0,0,50,Offer B,No,,,Yes,DSL,7,Yes,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,35.4,1748.9,0,0,0,1748.9
Female,29,No,0,0,7,None,Yes,28.62,Yes,Yes,Fiber Optic,26,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,73.85,511.25,13.03,0,200.34,698.56
Female,62,Yes,0,1,61,Offer B,Yes,47.19,Yes,Yes,DSL,28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,88.1,5526.75,0,0,2878.59,8405.34
Male,42,No,0,0,15,Offer D,Yes,45.92,No,Yes,Fiber Optic,12,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.35,1553.95,0,0,688.8,2242.75
Female,51,No,2,0,26,None,No,,,Yes,DSL,19,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,45.8,1147,0,0,0,1147
Male,39,Yes,0,9,72,None,Yes,33.22,No,Yes,Fiber Optic,23,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.65,6747.35,0,0,2391.84,9139.19
Male,64,Yes,0,1,44,None,Yes,27.4,No,No,,,,,,,,,,,One Year,Yes,Bank Withdrawal,20.5,865.05,0,0,1205.6,2070.65
Male,55,No,0,0,66,Offer A,Yes,48.78,Yes,Yes,Fiber Optic,8,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,89.4,5976.9,36.02,40,3219.48,9200.36
Female,40,No,0,0,2,None,Yes,36.81,No,Yes,Fiber Optic,16,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.25,181.65,0,0,73.62,255.27
Female,76,No,0,0,44,None,Yes,7.72,No,Yes,DSL,17,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,74.85,3268.05,17.91,0,339.68,3589.82
Female,57,No,0,0,12,Offer D,Yes,14.38,Yes,Yes,Fiber Optic,6,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.75,1052.4,0,0,172.56,1224.96
Male,71,Yes,0,1,69,None,Yes,18.41,Yes,Yes,Fiber Optic,17,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,109.95,7634.25,0,0,1270.29,8904.54
Female,25,No,0,0,1,Offer E,Yes,1.23,Yes,Yes,Fiber Optic,69,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,80.2,80.2,0,0,1.23,81.43
Female,24,No,0,0,3,Offer E,Yes,25.75,No,No,,,,,,,,,,,Month-to-Month,No,Credit Card,19.85,63.75,0,0,77.25,141
Female,19,Yes,0,10,2,None,Yes,4.65,No,Yes,Fiber Optic,53,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,90.35,190.5,0,0,9.3,199.8
Female,77,No,0,0,27,None,Yes,2.97,Yes,Yes,Fiber Optic,4,No,Yes,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,86.45,2401.05,0,0,80.19,2481.24
Male,57,No,0,0,26,Offer C,Yes,13.34,No,No,,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,20.3,511.25,0,0,346.84,858.09
Female,73,Yes,0,9,39,None,Yes,20.15,Yes,Yes,Fiber Optic,21,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.25,3949.15,0,0,785.85,4735
Male,41,No,0,0,25,None,Yes,34.88,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.7,2362.1,0,0,872,3234.1
Female,43,No,0,0,1,Offer E,Yes,39.81,No,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,70.9,70.9,0,0,39.81,110.71
Male,48,Yes,0,1,22,Offer D,Yes,27.24,No,Yes,DSL,21,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,54.2,1152.7,0,0,599.28,1751.98
Female,56,No,0,0,72,Offer A,Yes,48.37,Yes,Yes,Fiber Optic,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,114.9,8496.7,0,0,3482.64,11979.34
Female,51,No,0,0,24,None,Yes,10.64,No,No,,,,,,,,,,,Two Year,Yes,Bank Withdrawal,19.55,470.2,0,0,255.36,725.56
Female,34,Yes,0,8,19,None,Yes,7.84,Yes,Yes,Fiber Optic,16,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.85,1564.4,0,0,148.96,1713.36
Male,21,Yes,2,2,71,None,Yes,9.2,Yes,No,,,,,,,,,,,Two Year,No,Credit Card,25.35,1847.55,0,0,653.2,2500.75
Male,78,Yes,0,7,33,None,Yes,25.15,Yes,Yes,Fiber Optic,20,Yes,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,109.9,3694.7,0,0,829.95,4524.65
Female,60,No,0,0,3,None,Yes,2.69,No,No,,,,,,,,,,,Month-to-Month,No,Credit Card,19.95,58,0,0,8.07,66.07
Male,54,Yes,1,7,47,None,Yes,1.09,Yes,Yes,Fiber Optic,13,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,87.2,4017.45,0,0,51.23,4068.68
Male,42,Yes,3,2,62,None,Yes,1.76,No,Yes,Fiber Optic,20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,108.15,6825.65,0,0,109.12,6934.77
Male,22,No,0,0,71,None,Yes,2.88,Yes,Yes,Fiber Optic,48,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,116.3,8309.55,0,0,204.48,8514.03
Male,71,Yes,0,8,7,None,Yes,41.97,No,Yes,Fiber Optic,11,No,No,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,89,605.45,0,0,293.79,899.24
Female,56,Yes,2,6,27,Offer C,Yes,46.66,No,Yes,Fiber Optic,28,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,74.4,1972.35,0,0,1259.82,3232.17
Male,33,No,0,0,2,None,Yes,1.81,No,No,,,,,,,,,,,Month-to-Month,No,Credit Card,20.05,33.7,0,0,3.62,37.32
Female,32,No,3,0,25,Offer C,No,,,Yes,Cable,75,Yes,No,No,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,35.05,844.45,0,0,0,844.45
Male,80,No,0,0,30,None,Yes,38.61,No,Yes,DSL,5,Yes,Yes,No,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,74.75,2111.3,0,0,1158.3,3269.6
Female,73,Yes,0,1,58,None,Yes,16.94,No,Yes,Fiber Optic,19,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,105.5,6205.5,0,0,982.52,7188.02
Male,26,Yes,0,1,10,Offer D,Yes,2.02,Yes,Yes,Fiber Optic,82,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,85.25,855.3,0,100,20.2,975.5
Female,59,No,0,0,9,None,Yes,9.27,Yes,Yes,Fiber Optic,28,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,75.2,633.85,0,0,83.43,717.28
Female,78,Yes,0,1,6,None,Yes,28.71,Yes,Yes,Fiber Optic,17,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.35,474.9,0,0,172.26,647.16
Female,47,Yes,1,7,69,None,Yes,38.92,Yes,Yes,Fiber Optic,16,Yes,No,Yes,No,No,No,No,No,One Year,No,Bank Withdrawal,84.45,5848.6,0,40,2685.48,8574.08
Female,68,No,0,0,66,None,Yes,10.45,Yes,Yes,Fiber Optic,20,Yes,No,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,102.4,6471.85,0,0,689.7,7161.55
Female,30,No,0,0,70,Offer A,Yes,10.21,Yes,Yes,Fiber Optic,52,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,115.55,8127.6,0,0,714.7,8842.3
Male,62,No,0,0,25,Offer C,Yes,5.57,Yes,No,,,,,,,,,,,One Year,No,Bank Withdrawal,25.3,676.35,0,0,139.25,815.6
Female,52,Yes,2,1,46,Offer B,Yes,24.33,No,No,,,,,,,,,,,Two Year,Yes,Credit Card,19.25,864.2,0,0,1119.18,1983.38
Female,63,Yes,0,7,54,Offer B,Yes,11.4,Yes,Yes,Fiber Optic,26,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,114.65,6049.5,0,0,615.6,6665.1
Female,54,No,0,0,15,None,Yes,22.39,No,Yes,Fiber Optic,7,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,105.1,1582.75,0,0,335.85,1918.6
Female,48,Yes,1,0,12,Offer D,Yes,8.25,No,No,,,,,,,,,,,Month-to-Month,No,Bank Withdrawal,19.4,198.1,0,0,99,297.1
Female,51,No,0,0,22,None,No,,,Yes,Cable,22,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,50.35,1098.85,0,0,0,1098.85
Female,22,Yes,0,9,70,None,No,,,Yes,Cable,85,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,57.8,4039.3,1.01,0,0,4038.29
Male,52,No,0,0,30,Offer C,Yes,24.73,No,Yes,Fiber Optic,20,Yes,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Credit Card,84.3,2438.6,0,130,741.9,3310.5
Male,22,Yes,1,1,71,Offer A,Yes,28.34,Yes,Yes,Fiber Optic,59,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,100.55,7113.75,16.99,0,2012.14,9108.9
Male,33,Yes,0,2,30,None,Yes,9.81,No,No,,,,,,,,,,,One Year,No,Credit Card,19.8,576.65,0,0,294.3,870.95
Male,26,Yes,0,5,4,Offer E,Yes,28.77,Yes,Yes,Fiber Optic,19,No,Yes,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.8,371.9,0,0,115.08,486.98
Male,58,No,0,0,2,Offer E,Yes,14.14,No,Yes,Fiber Optic,28,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.85,167.3,0,0,28.28,195.58
Male,22,No,1,0,10,None,Yes,7.86,No,No,,,,,,,,,,,One Year,Yes,Bank Withdrawal,19.95,219.5,0,0,78.6,298.1
Male,66,No,0,0,4,Offer E,Yes,36.4,No,Yes,Fiber Optic,29,Yes,No,No,No,No,No,No,Yes,One Year,No,Bank Withdrawal,75.35,273.4,0,0,145.6,419
Male,69,No,0,0,52,Offer B,No,,,Yes,DSL,19,Yes,No,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,48.8,2555.05,0,0,0,2555.05
Male,25,No,0,0,5,None,Yes,22.01,Yes,Yes,Cable,85,No,No,No,No,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,47.15,223.15,0,0,110.05,333.2
Male,30,Yes,3,1,8,Offer E,Yes,2.87,No,No,,,,,,,,,,,Two Year,No,Credit Card,20.15,165.5,0,0,22.96,188.46
Female,73,No,0,0,2,Offer E,Yes,23.91,No,Yes,Cable,22,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,44.3,89.3,0,0,47.82,137.12
Male,46,No,0,0,3,Offer E,Yes,13.72,No,Yes,Fiber Optic,26,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,84.3,235.05,0,0,41.16,276.21
Male,40,No,0,0,19,Offer D,Yes,11.85,Yes,Yes,DSL,18,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,59.55,1144.6,0,0,225.15,1369.75
Male,53,No,0,0,72,Offer A,Yes,3.66,Yes,Yes,DSL,13,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,69.65,4908.25,0,0,263.52,5171.77
